id,type,wait_time,exec_time
136,1024-2048,5255400.0,5355379.310344827
105,1024-8192,703176700.0,85355862.06896552
137,256-128,62638000.0,5276.14598540146
139,256-2048,23651500.0,1018715.3284671532
138,4096-128,44770000.0,118402.44215938303
140,1024-4096,27141800.0,21371724.137931034
135,512-8192,156275700.0,28052670.157068063
142,2048-128,17195200.0,53532.0
144,4096-256,0.0,456702.44215938303
141,4096-8192,489961700.0,451714652.95629823
147,256-256,370621700.0,18064.642335766424
160,256-256,110621700.0,18064.642335766424
164,256-512,30670600.0,66999.70802919708
143,256-2048,451622400.0,1018715.3284671532
150,256-2048,311640500.0,1018715.3284671532
154,256-8192,246698700.0,16076905.109489052
163,256-8192,66747600.0,16076905.109489052
146,512-256,407777300.0,29671.675392670157
148,1024-256,368864200.0,86862.75862068965
151,1024-512,309117500.0,340165.5172413793
162,1024-2048,94132700.0,5355379.310344827
158,1024-4096,190236000.0,21371724.137931034
166,1024-4096,30487800.0,21371724.137931034
161,4096-128,131607800.0,118402.44215938303
149,4096-256,371946100.0,456702.44215938303
153,4096-256,292064600.0,456702.44215938303
167,4096-512,13696800.0,1794325.1928020567
165,4096-2048,80392700.0,28328084.832904886
168,256-256,21359300.0,18064.642335766424
169,512-256,2389000.0,29671.675392670157
159,2048-256,203649000.0,208440.0
145,2048-1024,486711700.0,3271200.0
155,2048-2048,296693000.0,13044000.0
157,2048-4096,298803700.0,52092000.0
152,2048-8192,564893000.0,208200000.0
175,512-256,105008000.0,29671.675392670157
170,512-1024,206235100.0,446058.6387434555
179,512-1024,25424400.0,446058.6387434555
180,256-512,6491400.0,66999.70802919708
172,256-1024,166683500.0,259054.01459854015
177,256-1024,66683500.0,259054.01459854015
174,256-4096,130460400.0,4035970.802919708
178,256-4096,50527400.0,4035970.802919708
171,256-8192,203571200.0,16076905.109489052
181,4096-128,3870600.0,118402.44215938303
182,4096-512,1694400.0,1794325.1928020567
173,4096-4096,276804300.0,113043766.06683806
184,256-256,57727000.0,18064.642335766424
185,2048-256,38935500.0,208440.0
176,2048-4096,270914400.0,52092000.0
156,2048-8192,828145600.0,208200000.0
193,512-128,87213600.0,8081.408376963351
196,512-1024,27651600.0,446058.6387434555
189,1024-128,169558000.0,22852.41379310345
183,1024-512,289921800.0,340165.5172413793
186,1024-1024,230927400.0,1345724.1379310344
197,1024-1024,10020300.0,1345724.1379310344
188,1024-2048,195230700.0,5355379.310344827
191,1024-2048,135352800.0,5355379.310344827
187,1024-4096,232275600.0,21371724.137931034
192,2048-128,132445700.0,53532.0
195,2048-512,73215100.0,822960.0
194,2048-1024,95716900.0,3271200.0
190,4096-128,176835400.0,118402.44215938303
198,256-4096,21807600.0,4035970.802919708
199,512-256,2834600.0,29671.675392670157
200,1024-512,1240200.0,340165.5172413793
201,256-1024,1159100.0,259054.01459854015
202,2048-1024,4171200.0,3271200.0
203,512-2048,2665800.0,1765774.8691099477
204,1024-512,1240200.0,340165.5172413793
